"id","submitdate","lastpage","startlanguage","seed","startdate","datestamp","InformationSheet","consent","ideology","left_right","party","national_pride_1","national_pride_2","ac1","ft_trump","ft_biden","ft_anti_vaxxers","ft_climate_activists","ft_undoc_im","ft_doc_im","ft_unions","randomisation","transitionVignettes","TransitionControl","V1demxval","V2demxsec","V3repxval","V4repxsec","Control","integrvalues","geneq","sexconsent","integrlanguage","placebo_corporate_tax","ac2","pride_western_values","muslim1","muslim2","latino1","latino2","diversity","perceived_value_clash","mc1_party","mc1_party_other","mc2_latinos","mc2_muslims","mc2_western_europeans","mc2_africans","mc2_eastern_europeans","mc2_me_na","mc2_mexicans","mc2_americans","mc2_woman","mc2_asians","mc2_whites","mc2_blacks","mc2_men","mc2_other","mc3_threat","mc3_other","parents_born","residence","residence_other","education","education_other","employment_status","employment_status_other","household_income","race","race_other","gender","gender_other","debriefing","end","interviewtime","groupTime192","ProlificPIDTime","ProlificSessionIDTime","ProlificStudyIDTime","groupTime191","InformationSheetTime","consentTime","groupTime193","Q1Time","Q2Time","Q3Time","Q5Time","groupTime194","Q6Time","groupTime203","gleichungTime","groupTime202","transitionVignettesTime","TransitionControlTime","groupTime196","V1demxvalTime","V2demxsecTime","V3repxvalTime","V4repxsecTime","ControlTime","groupTime197","Q7Time","Q8Time","groupTime198","Q11Time","Q12Time","Q13Time","groupTime199","MC1Time","MC2Time","MC3Time","groupTime195","QD1Time","QD2Time","QD3Time","QD4Time","QD5Time","QD6Time","QD7Time","groupTime200","debriefingTime","endTime","prolific_submission_id","prolific_review_status","Custom study tncs accepted at","prolific_start","prolific_end","prolific_review_date","prolific_archived_date","duration","prolific_completion_code","prolific_total_approvals","prolific_political_spectrum","age","prolific_sex","ethnicity","country_of_birth","country_of_residence","nationality","language","student_status","prolific_employment_status","immigration","imm_pro_con","immigration_dichot","treatment","integration","genderpolicies","latino1_reversed","latino","muslim","left_right_collapsed","left_right_five","gender_extended","gender_collapsed","party_collapsed","party_collapsed_num","born_us","continent_of_birth","imm_background","race_collapsed","race_labelled","race_collapsed_label","merged_race","cohort_labelled","cohort_num","residence_collapsed","residence_collapsed_label","education_label","unemployed","household_income_label"
7,2024-07-01 14:54:43,12,"en",721719079,2024-07-01 14:48:35,2024-07-01 14:54:43,NA,"consent given",6,20,4,1,5,1,5,80,10,80,50,100,90,3,NA,NA,NA,NA,NA,NA,NA,6,9,9,10,8,1,3,5,1,3,4,6,2,"Republican",NA,"Y",NA,NA,NA,NA,NA,"Y",NA,NA,NA,NA,NA,NA,NA,"1",NA,2,"5",NA,5,NA,"1",NA,4,"1",NA,"Women",NA,NA,NA,372.5,NA,NA,NA,NA,16.51,NA,NA,44.09,NA,NA,NA,NA,55.8,NA,NA,NA,5.47,NA,NA,30.59,NA,NA,NA,NA,NA,44.63,NA,NA,NA,NA,NA,NA,131.53,NA,NA,NA,33.37,NA,NA,NA,NA,NA,NA,NA,10.51,NA,NA,"6682a59a4a359a71cf65f786","AWAITING REVIEW","Not Applicable",2024-07-01 12:48:31.353,2024-07-01 12:54:49.095,NA,2024-07-01 12:57:34.409997,378,"CBDIKNY0",146,"Liberal","46","Female","White","Germany","United States","United States","German","No","Part-Time",75,0,1,"t1",8,9,3,3.5,3,"Left-leaning","slight_left","Female","Other","Independent",2,0,"Europe",1,1,"White","White","White","4 - 70s",4,1,"Larger city or suburb to a larger city ","4-Year College Degree",0,"Between $120,000 and $199,999 per year"
8,2024-07-01 14:53:23,12,"en",842652852,2024-07-01 14:48:38,2024-07-01 14:53:23,NA,"consent given",6,50,3,4,4,1,0,25,0,85,70,100,100,4,NA,NA,NA,NA,NA,NA,NA,1,10,10,0,0,1,4,5,2,2,3,7,1,"Republican",NA,NA,"Y",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2",NA,0,"3",NA,2,NA,"1",NA,2,"1",NA,"Men",NA,NA,NA,288.76,NA,NA,NA,NA,12.61,NA,NA,31.31,NA,NA,NA,NA,39.69,NA,NA,NA,5.3,NA,NA,18.95,NA,NA,NA,NA,NA,53.78,NA,NA,58.37,NA,NA,NA,43.16,NA,NA,NA,18.51,NA,NA,NA,NA,NA,NA,NA,7.08,NA,NA,"6682a59bae1e1a8ffeaeb75b","AWAITING REVIEW","Not Applicable",2024-07-01 12:48:30.381,2024-07-01 12:53:25.122,NA,2024-07-01 12:57:28.518643,295,"CBDIKNY0",103,"Liberal","27","Male","White","United States","United States","United States","English","No","Full-Time",85,0,1,"t2",0.5,10,4,3.5,3.5,"Centrist","middle","Male","Male","Democratic",1,1,"North America (US)",0,1,"White","White","White","6 - 90s",2,0,"Other","High School Graduate",0,"Between $40,000 and $79,999 per year"
9,2024-07-01 14:53:49,12,"en",1304041765,2024-07-01 14:51:21,2024-07-01 14:53:49,NA,"consent given",6,20,3,4,4,1,10,66,4,73,59,89,65,5,NA,NA,NA,NA,NA,NA,NA,1,7,5,0,2,1,3,5,1,1,4,4,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,"3",NA,3,NA,"1",NA,2,"1",NA,"Men",NA,NA,NA,150.82,NA,NA,NA,NA,17.03,NA,NA,19.9,NA,NA,NA,NA,28.56,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,28.72,NA,NA,36.18,NA,NA,NA,NA,NA,NA,NA,17.23,NA,NA,NA,NA,NA,NA,NA,3.2,NA,NA,"6682a63cca4a37689a428c33","AWAITING REVIEW","Not Applicable",2024-07-01 12:51:17.364,2024-07-01 12:53:52.406,NA,2024-07-01 12:57:29.798924,156,"CBDIKNY0",564,"Liberal","49","Male","White","United States","United States","United States","English","No","Full-Time",74,0,1,"control",0.5,6,5,4.5,3,"Left-leaning","slight_left","Male","Male","Democratic",1,1,"North America (US)",0,1,"White","White","White","4 - 70s",4,0,"Other","Some College",0,"Between $40,000 and $79,999 per year"
10,2024-07-01 14:58:56,12,"en",1306432843,2024-07-01 14:54:08,2024-07-01 14:58:56,NA,"consent given",7,12,2,2,5,1,0,40,0,50,50,50,50,1,NA,NA,NA,NA,NA,NA,NA,0,8,4,0,5,1,3,3,1,1,3,2,0,"Democratic",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"all of the above - I was thinking about migration in general, not a specific group of people","1",NA,0,"3",NA,5,NA,"1",NA,3,"1",NA,"Women",NA,NA,NA,294.26,NA,NA,NA,NA,12.72,NA,NA,39.74,NA,NA,NA,NA,27.6,NA,NA,NA,5.28,NA,NA,29.8,NA,NA,NA,NA,NA,34.65,NA,NA,52.04,NA,NA,NA,51.65,NA,NA,NA,30.92,NA,NA,NA,NA,NA,NA,NA,9.86,NA,NA,"6682a6e88db3686559aeb81f","AWAITING REVIEW","Not Applicable",2024-07-01 12:54:05.565,2024-07-01 12:59:00.81,NA,2024-07-01 12:59:01.811888,296,"CBDIKNY0",395,"Liberal","26","Female","White","United States","United States","United States","English","DATA_EXPIRED","Full-Time",50,1,NA,"t3",0,6,5,4,2,"Left-leaning","strong_left","Female","Other","Democratic",1,1,"North America (US)",0,1,"White","White","White","6 - 90s",2,0,"Other","4-Year College Degree",0,"Between $80,000 and $119,999 per year"
11,2024-07-01 15:04:03,12,"en",1002388530,2024-07-01 14:54:10,2024-07-01 15:04:03,NA,"consent given",6,12,4,2,2,1,0,38,72,100,63,100,77,1,NA,NA,NA,NA,NA,NA,NA,8,8,10,0,6,1,2,3,2,2,2,2,5,"No party stated",NA,"Y",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Y",NA,"1",NA,0,"1",NA,6,NA,"1",NA,1,"1",NA,"Women",NA,NA,NA,598.69,NA,NA,NA,NA,11.58,NA,NA,27.91,NA,NA,NA,NA,32.4,NA,NA,NA,3.82,NA,NA,18.25,NA,NA,NA,NA,NA,42.85,NA,NA,NA,NA,NA,NA,61.82,NA,NA,NA,387.85,NA,NA,NA,NA,NA,NA,NA,12.21,NA,NA,"6682a6e62fccea6f07d382ab","AWAITING REVIEW","Not Applicable",2024-07-01 12:54:05.908,2024-07-01 13:04:11.815,NA,2024-07-01 13:06:39.49798,606,"CBDIKNY0",809,"Liberal","28","Female","White","United States","United States","United States","English","Yes","Due to start a new job within the next month",81.5,0,1,"t3",4,9,4,3,2.5,"Left-leaning","strong_left","Female","Other","Independent",2,1,"North America (US)",0,1,"White","White","White","6 - 90s",2,0,"Other","Post Graduate (e.g., masters, PhD, JD)",0,"Under $40,000 per year"
13,2024-07-01 15:02:09,12,"en",194351788,2024-07-01 14:56:29,2024-07-01 15:02:09,NA,"consent given",6,25,3,2,5,1,0,65,0,100,75,100,100,2,NA,NA,NA,NA,NA,NA,NA,10,10,8,5,8,1,2,4,2,3,4,4,5,"Democratic",NA,"Y",NA,NA,NA,NA,NA,"Y",NA,NA,NA,NA,NA,"Y",NA,"2",NA,0,"3",NA,5,NA,"0",NA,4,"1",NA,"Women",NA,NA,NA,344.03,NA,NA,NA,NA,13.75,NA,NA,38.19,NA,NA,NA,NA,56.17,NA,NA,NA,5.55,NA,NA,26.91,NA,NA,NA,NA,NA,40.84,NA,NA,59.84,NA,NA,NA,61.84,NA,NA,NA,28.63,NA,NA,NA,NA,NA,NA,NA,12.31,NA,NA,"6682a7743b9c18e66470beb1","AWAITING REVIEW","Not Applicable",2024-07-01 12:56:26.524,2024-07-01 13:02:10.647,NA,2024-07-01 14:02:58.957164,345,"CBDIKNY0",3,"Liberal","33","Female","White","United States","United States","United States","English","No","Unemployed (and job seeking)",87.5,0,1,"t4",7.5,9,3,3.5,3,"Left-leaning","slight_left","Female","Other","Democratic",1,1,"North America (US)",0,1,"White","White","White","6 - 90s",2,0,"Other","4-Year College Degree",1,"Between $120,000 and $199,999 per year"
14,2024-07-01 15:03:22,12,"en",1088577593,2024-07-01 14:57:38,2024-07-01 15:03:22,NA,"consent given",7,0,1,3,4,1,0,79,4,100,78,89,87,4,NA,NA,NA,NA,NA,NA,NA,8,10,10,8,5,1,4,3,4,1,4,5,3,"Republican",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Y",NA,NA,NA,NA,NA,"2",NA,2,"3",NA,6,NA,"1",NA,2,"4",NA,"Women",NA,NA,NA,348.63,NA,NA,NA,NA,10.2,NA,NA,32.58,NA,NA,NA,NA,47.25,NA,NA,NA,4.73,NA,NA,24.21,NA,NA,NA,NA,NA,58,NA,NA,32.7,NA,NA,NA,87.53,NA,NA,NA,35.81,NA,NA,NA,NA,NA,NA,NA,15.62,NA,NA,"6682a7b78db3686559aeb85b","AWAITING REVIEW","Not Applicable",2024-07-01 12:57:35.092,2024-07-01 13:03:24.185,NA,2024-07-01 13:06:37.757269,350,"CBDIKNY0",4214,"Liberal","32","Female","Asian","United States","United States","United States","English","No","DATA_EXPIRED",83.5,0,1,"t2",8,10,5,4.5,3.5,"Left-leaning","strong_left","Female","Other","Democratic",1,1,"North America (US)",1,0,"Asian","Non-white","Asian","6 - 90s",2,0,"Other","Post Graduate (e.g., masters, PhD, JD)",0,"Between $40,000 and $79,999 per year"
15,2024-07-01 15:11:52,12,"en",368591483,2024-07-01 14:59:11,2024-07-01 15:11:52,NA,"consent given",6,78,2,5,1,1,30,72,42,67,40,66,60,1,NA,NA,NA,NA,NA,NA,NA,5,8,6,3,8,1,3,4,4,3,2,6,7,"Democratic",NA,NA,"Y",NA,"Y",NA,NA,NA,"Y","Y",NA,NA,"Y","Y",NA,"1",NA,0,"5",NA,5,NA,"1",NA,3,"2",NA,"Women",NA,NA,NA,763.76,NA,NA,NA,NA,12.31,NA,NA,141.14,NA,NA,NA,NA,61.35,NA,NA,NA,63.54,NA,NA,65.56,NA,NA,NA,NA,NA,20.99,NA,NA,34.97,NA,NA,NA,296.03,NA,NA,NA,42.52,NA,NA,NA,NA,NA,NA,NA,25.35,NA,NA,"6682a8005b6bcf7e44720662","AWAITING REVIEW","Not Applicable",2024-07-01 12:58:46.314,2024-07-01 13:12:02.201,NA,2024-07-01 13:12:03.613941,796,"CBDIKNY0",10,"Liberal","22","Female","Black","United States","United States","United States","English","No","Full-Time",53,0,1,"t3",4,7,3,2.5,4,"Right-leaning","slight_right","Female","Other","Democratic",1,1,"North America (US)",0,0,"Black","Non-white","Black","7 - 2000+",1,1,"Larger city or suburb to a larger city ","4-Year College Degree",0,"Between $80,000 and $119,999 per year"
16,2024-07-01 15:03:34,12,"en",1675787160,2024-07-01 14:59:38,2024-07-01 15:03:34,NA,"consent given",2,69,5,5,1,1,77,42,0,67,48,96,55,4,NA,NA,NA,NA,NA,NA,NA,6,5,5,8,5,1,3,4,2,4,4,8,7,"No party stated",NA,"Y","Y",NA,NA,NA,"Y","Y","Y","Y",NA,NA,NA,"Y",NA,"2",NA,0,"3",NA,1,NA,"0",NA,1,"1",NA,"Women",NA,NA,NA,239.88,NA,NA,NA,NA,7.23,NA,NA,24.99,NA,NA,NA,NA,21.25,NA,NA,NA,2.81,NA,NA,11.71,NA,NA,NA,NA,NA,38.68,NA,NA,27.91,NA,NA,NA,75.31,NA,NA,NA,20.13,NA,NA,NA,NA,NA,NA,NA,9.86,NA,NA,"6682a819dc75afab3e6d28f2","AWAITING REVIEW","Not Applicable",2024-07-01 12:59:30.488,2024-07-01 13:03:39.678,NA,2024-07-01 13:06:38.26044,250,"CBDIKNY0",4,"Conservative","25","Male","White","United States","United States","United States","English","No","Unemployed (and job seeking)",72,0,1,"t2",7,5,2,3,3,"Right-leaning","slight_right","Female","Other","Republican",3,1,"North America (US)",0,1,"White","White","White","6 - 90s",2,0,"Other","No High School Degree",1,"Under $40,000 per year"
17,2024-07-01 15:10:39,12,"en",1642417290,2024-07-01 15:01:51,2024-07-01 15:10:39,NA,"consent given",6,38,2,5,1,1,75,37,56,100,55,100,79,2,NA,NA,NA,NA,NA,NA,NA,10,10,10,10,7,1,5,3,3,4,4,7,8,"Democratic",NA,"Y","Y",NA,"Y",NA,"Y",NA,NA,NA,NA,NA,"Y",NA,NA,"2",NA,1,"4",NA,5,NA,"1",NA,3,"2",NA,"Men",NA,NA,NA,530.61,NA,NA,NA,NA,14.77,NA,NA,58.73,NA,NA,NA,NA,87.45,NA,NA,NA,8.76,NA,NA,75.31,NA,NA,NA,NA,NA,60.99,NA,NA,79.94,NA,NA,NA,62.53,NA,NA,NA,61.1,NA,NA,NA,NA,NA,NA,NA,21.03,NA,NA,"6682a88fd3731fa29b066ed8","AWAITING REVIEW","Not Applicable",2024-07-01 13:01:38.693,2024-07-01 13:10:57.03,NA,2024-07-01 13:11:00.433007,559,"CBDIKNY0",13,"Liberal","30","Male","Mixed","United Kingdom","United States","United States","English","No","Part-Time",77.5,0,1,"t4",10,10,2,3,3,"Left-leaning","slight_left","Male","Male","Democratic",1,0,"Europe",1,0,"Black","Non-white","Black","6 - 90s",2,1,"Larger city or suburb to a larger city ","4-Year College Degree",0,"Between $80,000 and $119,999 per year"
